Name	CoL ID	E_Rj (J/cm^3)	F_m (l/d.cm^2)	kap_X (-)	s_G (-)	h_a (1/d^2)	kap_P (-)	kap_R (-)	kap_V (-)	p_M (J/d.cm^3)	k_E (1/d)	E_G (J/cm^3)	p_T (J/d.cm^2)	s_j (-)	t_sj (d)	E_Hj (J)	E_He (J)	E_Hb (J)	k_J (1/d)	E_Hx (J)	E_Hp (J)	E_Hs (J)	p_Am (J/d.cm^2)	kap (-)	v (cm/d)	t_0 (d)
Channa punctata	19bb192b10caf3ea97ac557fd3b99edb		6.5	0.8	0.0001	6.29049e-08	0.1	0.95		16.4884		5232.45	0.0					0.000237038	0.002		345.933		97.4623	0.996963	0.0445396	
Chanos chanos	4d9c6e7dced48df2f32ab635d64864ea		6.5	0.8	0.0001	6.052e-10	0.1	0.95		39.23		5200.0	0.0			0.7199		0.5095	0.002		3539000.0		772.497	0.7455	0.04969	
Chaoborus americanus	5dbeb214237206446fda16aaf06120cb	38.99	6.5	0.8	1.0	0.1782	0.1	0.95		63.93		440.0	0.0					1.232e-05	0.002		0.001327		4.44555	0.9973	0.01875	
Charadrius pecuarius	7649077c28e6d6a042e8f6a197b55be5		6.5	0.8	0.01	1.151e-28	0.1	0.95		184.056		7315.51	0.0					5920.0	0.002		442100.0		675.855	0.86492	0.33675	
Charybdis bimaculata	4e36e28ae886201dde69d60b6f300fbc		6.5	0.8	0.0001	8.965e-07	0.1	0.95		72.377		4437.41	0.0			0.03252		0.001294	0.002		129.0		38.949	0.97415	0.022396	
Chelidonichthys lucerna	092eeb046b250e0e6525afb90ea84c57		6.5	0.8	0.0001	4.34116e-08	0.1	0.95		17.7616		5225.49	0.0			6.00797		0.557084	0.002		91749.9		168.298	0.652471	0.0358337	
Chelon labrosus	78be26413dd8d85e73278dd3188eab9f		6.5	0.8	0.0001	1.21359e-08	0.1	0.95		18.5739		5229.47	0.0					0.373916	0.002		150073.0		396.543	0.619047	0.0325429	
Chiloscyllium plagiosum	52239f24c95c370cbca53d5404f355a8		6.5	0.8	0.0001	4.294e-10	0.1	0.95		18.91		5287.0	0.0					7787.0	0.002		1275000.0		246.869	0.7077	0.03059	
Chirocentrus dorab	e6e028c4da3f6801e1e7b01fa7098bf8		6.5	0.8	0.0001	7.549e-10	0.1	0.95		3.178		5232.0	0.0			0.03111		0.02993	0.002		7914.0		33.0237	0.971	0.03695	
Chironex fleckeri	acb0b861a8a833094a28eb241f5d6668		6.5	0.8	0.0001	1.82973e-06	0.1	0.95		24.8772		260.909	0.0			2593.74		0.074492	0.002		6711.02		18.9005	0.382352	0.00967923	
