Name	CoL ID	p_M (J/d.cm^3)	F_m (l/d.cm^2)	h_a (1/d^2)	p_Am (J/d.cm^2)	k_J (1/d)	kap_X (-)	kap (-)	E_G (J/cm^3)	E_Hb (J)	s_G (-)	v (cm/d)	kap_P (-)	kap_R (-)	E_Hp (J)	p_T (J/d.cm^2)
Geocrinia vitellina	12f5c1d4ba0f3475b80be1a3f53d8269	18.9	6.5	8.325e-09	32.2314	0.002	0.8	0.6374	7322.0	45.44	0.0001	0.02236	0.1	0.95	1200.0	0.0
Gorgosaurus libratus	54cd15bf2e0366e56b694ffd4318a821	15.35	6.5	1.363e-11	939.859	0.002	0.8	0.7993	7849.0	391900.0	0.5	0.01513	0.1	0.95	149700000.0	0.0
Grus americana	9e7ec4f646ab45aa56e2c1b86e918670	100.551	6.5	1.099e-88	2042.05	0.002	0.8	0.95804	7300.21	42270.0	0.01	6.082	0.1	0.95	15770000.0	0.0
Grus antigone	6a6879cee063dbe1eb1e589ccdbf7ecb	91.9255	6.5	5.831e-63	1893.31	0.002	0.8	0.97421	7304.17	22010.0	0.01	2.4219	0.1	0.95	9433000.0	0.0
Grus canadensis	b5fb32b609572d52ede7b7748943dc51	81.8711	6.5	1.306e-67	1475.79	0.002	0.8	0.95781	7297.76	27530.0	0.01	2.5848	0.1	0.95	8990000.0	0.0
Grus japonensis	6fde6b82ab0ac42b5d8bbd69e9433010	54.3306	6.5	8.343e-72	1168.16	0.002	0.8	0.96574	7273.56	27970.0	0.01	4.8321	0.1	0.95	8280000.0	0.0
Grus leucogeranus	0ae95f5329e0e7fe075c002169e60746	117.569	6.5	2.264e-65	2156.38	0.002	0.8	0.95568	7284.76	38190.0	0.01	2.5592	0.1	0.95	14270000.0	0.0
Grus monacha	0e419445ddc878e375c38fa9d9515969	151.176	6.5	8.237e-65	2336.0	0.002	0.8	0.95862	7306.54	28250.0	0.01	3.2318	0.1	0.95	10290000.0	0.0
Grus rubicundus	91e043fbcde2082b7347fce518462e0e	95.3346	6.5	2.645e-71	1787.4	0.002	0.8	0.96198	7296.49	29250.0	0.01	3.1906	0.1	0.95	10710000.0	0.0
Grus vipio	28717f30fbb5ef2ba20f85bb587a54d5	107.904	6.5	1.483e-79	1950.95	0.002	0.8	0.95427	7304.14	39750.0	0.01	2.5266	0.1	0.95	12870000.0	0.0
