Name	CoL ID	p_M (log10 J/d.cm^3)	F_m (log10 l/d.cm^2)	h_a (log10 1/d^2)	p_Am (log10 J/d.cm^2)	k_J (log10 1/d)	kap_X (log10 -)	kap (log10 -)	E_G (log10 J/cm^3)	E_Hb (log10 J)	s_G (log10 -)	v (log10 cm/d)	kap_P (log10 -)	kap_R (log10 -)	E_Hp (log10 J)	p_T (log10 J/d.cm^2)
Phaethon lepturus	9c0e9cb143508bda222bd0adec5383db	3.09497745204	0.812913356643	-56.6073030467	3.68344420899	-2.69897000434	-0.0969100130081	-0.00143118443693	3.86473588299	2.52891670028	-1.30102999566	-0.943285670484	-1.0	-0.0222763947112	4.65001595247	
Phaethon rubricauda	a2644bbf86d31681747084a3cf98311e	2.98539233998	0.812913356643	-41.519993057	3.68401006742	-2.69897000434	-0.0969100130081	-0.000630183992648	3.86289073042	2.2464985808	-1.30102999566	-0.972895134121	-1.0	-0.0222763947112	4.22427401429	
Phalacrocorax auritus	be5b3b833451887bf9e598f98a2f8292	2.62888731622	0.812913356643	-21.5836924129	3.62015792537	-6.46431354618	-0.0969100130081	-0.000425817276827	3.864517014	2.12123145515	-2.0	-0.338452324398	-1.0	-0.0222763947112	5.54045461367	
Philomachus pugnax	7b48212a290510deccad5344b1d61986	2.84424225769	0.812913356643	-21.7604502792	3.37825795926	-2.69897000434	-0.0969100130081	-0.0157788258762	3.86444343977	3.18098558079	-2.0	-0.762456261857	-1.0	-0.0222763947112	5.60281934243	
Phoeniconaias minor	8b96caa363071f1641f8a492c77d2cb8	1.43517840442	0.812913356643	-35.1614657295	2.48508797343	-2.69897000434	-0.0969100130081	-0.0254652805941	3.8636541064	4.47187819931	-1.30102999566	-0.972487307551	-1.0	-0.0222763947112	5.91003712355	
Phoronis pallida	3d20b39a5cdcd6ae450a423e58efe977	-0.276298106009	0.812913356643	-9.76045027916	-0.612503393064	-2.69897000434	-0.0969100130081	0.0	3.2619761914	-15.2780245984	-4.0	-3.0	-1.0	-0.323306390375	-6.26520017041	
Phylloscopus trochilus	9f7d79f2f0a042ef0e8368239dfb1cb3	3.00130093302	0.812913356643	-30.6022337439	3.24712347567	-2.69897000434	-0.0969100130081	-0.00179298936501	3.86407894485	1.37235958252	-2.0	-0.561346916284	-1.0	-0.0222763947112	2.31680875205	
Pica pica	c9dc4e5a0433e0c9f2b65212feba9bef	2.84915949648	0.812913356643	-109.01942401	3.49981487833	-2.69897000434	-0.0969100130081	-0.00275432533977	3.86463031768	2.31136175982	-1.30102999566	-0.412096058092	-1.0	-0.0222763947112	5.09218709606	
Pinguinus impennis	caf3fab41ba54462fe586a8bcdcdb54b	2.61878942698	0.812913356643	-14.966174306	3.65384033911	-2.69897000434	-0.0969100130081	-0.22393838227	3.86320088358	5.35945602012	-2.0	-1.41279432239	-1.0	-0.0222763947112	7.57588031568	
Plateosaurus engelhardti	ae30514b08e4a9102ed0953d4e849809	1.23350376034	0.812913356643	-10.2669633171	3.05118340451	-2.69897000434	-0.0969100130081	-0.0480799264797	3.89464830379	4.97418919112	-0.301029995664	-1.74376346679	-1.0	-0.0222763947112	8.11826472609	
Pleuroxus aduncus	4ab9e9fd2808c0e605b8e794b9199627	3.22582599146	0.812913356643	-4.50612388915	1.6614255273	-2.69897000434	-0.0969100130081	-0.10336356947	3.64787176531	-2.6011922698	-4.0	-1.6615435064	-1.0	-0.0222763947112	-1.74352279376	
Pleuroxus striatus	6e3bb1d0143dc61387f45820d1f76cee	3.17373971395	0.812913356643	-4.58753945257	1.73073060931	-2.69897000434	-0.0969100130081	-0.0901231820096	3.64345267649	-2.52143350441	-4.0	-1.57413985492	-1.0	-0.0222763947112	-1.45444549277	
Pluvialis dominica	aa24423d09987a0d571d2e28180b1960	2.32308495232	0.812913356643	-37.2306965398	3.00605508659	-2.69897000434	-0.0969100130081	-0.00400523563286	3.86325622353	3.04139268516	-2.0	-0.0665987697003	-1.0	-0.0222763947112	4.00432137378	
Podargus strigoides	77210dd21b917f4baf425d753ad78f02	3.37762311213	0.812913356643	-57.6110112149	3.87925935458	-2.70646066927	-0.0969100130081	-0.000947795443351	3.86410151205	1.8372095278	-1.30102999566	-1.06718137199	-1.0	-0.0222763947112	3.94339557651	
Podilymbus podiceps	efd1147e3604cc229f2e7dcafb95ca0b	2.95279825296	0.812913356643	-30.6643415477	3.50969032536	-2.63214111064	-0.0969100130081	-0.00594253361143	3.86597051356	2.83276430494	-1.0	-1.2389596898	-1.0	-0.0222763947112	4.79000352039	
Poecilia reticulata	1a2112979142994cc7c0ac7710256715	1.83954089297	0.812913356643	-7.23040115161	1.95403448082	-2.69897000434	-0.0969100130081	-0.262807357295	3.71742083672	0.64058080649	-1.0	-2.01605814102	-1.0	-0.0222763947112	1.9159272117	
Pomatoschistus minutus	04913a0b4d8937a43ce71ec46207ba90	2.1095785469	0.812913356643	-5.05217431556	2.22413665601	-2.69897000434	-0.0969100130081	-0.0200875896653	3.71441359229	-2.31131327572	-4.0	-1.87095494011	-1.0	-0.0222763947112	1.75427186868	
Porcellio scaber	f7f2e3aa63418de280d2441a2f50a353	1.77706415474	0.812913356643	-8.17121125182	1.49271151069	-2.69897000434	-0.0969100130081	-0.0637879556798	3.63205216671	-0.503070351927	-4.0	-1.07800156869	-1.0	-0.0222763947112	1.94255368033	
Pristiophorus cirratus	791c66b1d7d17796ec389eefcf0e7cdb	1.31238894937	0.812913356643	-7.57267621364	2.90530358087	-2.69897000434	-0.0969100130081	-0.0733489229111	3.71708772493	5.64305768375	-4.0	-0.876475019057	-1.0	-0.0222763947112	6.4156409799	
Pristis pectinata	24e3e2c1f2781f1f13e93e672b190cd1	1.27461961909	0.812913356643	-8.32066296948	2.90353870702	-2.69897000434	-0.0969100130081	-0.0054628957015	3.71850168887	2.94551782208	-4.0	-1.29929628285	-1.0	-0.0222763947112	5.74437122733	
Pseudemydura umbrina	02201b34a72c0285ab6719ce051efc2f	2.55678478231	0.812913356643	-11.3613111133	3.24195966062	-2.69897000434	-0.0969100130081	-0.0604807473814	3.92027989463	2.90308998699	-4.0	-1.42021640338	-1.0	-0.0222763947112	5.91381385238	
Pseudophryne bibronii	30e9b7c92c5bc6dc80518b2c9ec2d126	2.69081605798	0.812913356643	-6.39544996743	2.75354935572	-2.69897000434	-0.0969100130081	-0.159642940797	3.8690556187	0.963787827346	-4.0	-1.39826585174	-1.0	-0.0222763947112	4.50654561878	
Psittacosaurus mongoliensis	53bc6644c4a20fc8606d32a8104206c0	0.948608549876	0.812913356643	-13.9292235372	2.2561113305	-2.69897000434	-0.0969100130081	-0.00625524344554	3.89525675314	2.28712962072	-0.301029995664	-1.92408823852	-1.0	-0.0222763947112	5.57252309785	
